"","Date","Time","Latitude","Longitude","Type","Depth","Depth.Error","Depth.Seismic.Stations","Magnitude","Magnitude.Type","Magnitude.Error","Magnitude.Seismic.Stations","Azimuthal.Gap","Horizontal.Distance","Horizontal.Error","Root.Mean.Square","ID","Source","Location.Source","Magnitude.Source","Status","Year"
"22198","05/04/2014","20:18:25",34.9118,139.4186,"Earthquake",153,1.8,NA,6,"MWW",NA,NA,15,1.813,NA,0.95,"USB000Q9SV","US","US","US","Reviewed","2014"
"22199","05/05/2014","11:08:43",19.6557,99.6696,"Earthquake",6,1.7,NA,6.1,"MWW",NA,NA,18,1.081,NA,0.56,"USB000QACK","US","US","US","Reviewed","2014"
"22200","05/06/2014","20:52:28",-36.1703,-97.054,"Earthquake",16.83,3.1,NA,6.3,"MWW",NA,NA,26,13.799,NA,0.87,"USB000QCG4","US","US","US","Reviewed","2014"
"22201","05/07/2014","04:20:34",-6.9599,154.9011,"Earthquake",10,1.7,NA,6,"MWW",NA,NA,17,3.871,NA,0.71,"USB000QCQE","US","US","US","Reviewed","2014"
"22202","05/08/2014","17:00:15",17.2349,-100.7461,"Earthquake",17.09,3,NA,6.4,"MWW",NA,NA,55,0.494,NA,1.12,"USB000QEA2","US","US","US","Reviewed","2014"
"22203","05/09/2014","10:32:22",-18.9616,-175.5359,"Earthquake",192.3,3.9,NA,5.9,"MWW",NA,NA,17,5.307,NA,0.97,"USB000QFCT","US","US","US","Reviewed","2014"
"22204","05/10/2014","07:36:01",17.2192,-100.8122,"Earthquake",23,1.8,NA,6,"MWW",NA,NA,47,0.548,NA,1.3,"USB000QGT2","US","US","US","Reviewed","2014"
"22206","05/11/2014","01:10:16",-3.4336,146.1109,"Earthquake",10,1.7,NA,5.9,"MWW",NA,NA,25,5.476,NA,0.76,"USB000QHF5","US","US","US","Reviewed","2014"
"22207","05/11/2014","12:35:17",-47.8539,99.689,"Earthquake",10,1.7,NA,5.8,"MWW",NA,NA,50,19.336,NA,1.18,"USB000QHNH","US","US","US","Reviewed","2014"
"22208","05/11/2014","20:42:30",-13.8826,167.2398,"Earthquake",189.08,4.3,NA,5.6,"MWW",NA,NA,27,8.179,NA,0.87,"USB000QI18","US","US","US","Reviewed","2014"
"22209","05/12/2014","18:38:37",-49.9403,-114.7995,"Earthquake",10.47,3,NA,6.5,"MWW",NA,NA,35,23.164,NA,1.16,"USB000QJHH","US","US","US","Reviewed","2014"
"22210","05/13/2014","06:35:24",7.2096,-82.3045,"Earthquake",10,1.3,NA,6.5,"MWW",NA,NA,33,3.121,NA,1.33,"USB000QK64","US","US","US","Reviewed","2014"
"22211","05/14/2014","03:38:21",-22.7239,-66.4407,"Earthquake",213.12,4.3,NA,5.6,"MWW",NA,NA,23,2.284,NA,0.84,"USB000QLTI","US","US","US","Reviewed","2014"
"22212","05/14/2014","20:56:13",6.4507,144.9238,"Earthquake",10,1.7,NA,6.1,"MWW",NA,NA,38,7.093,NA,0.81,"USB000QN2Z","US","US","US","Reviewed","2014"
"22213","05/15/2014","08:16:34",6.4264,144.9363,"Earthquake",11,1.7,NA,6.3,"MWW",NA,NA,10,7.118,NA,1.18,"USB000QNGW","US","US","US","Reviewed","2014"
"22214","05/15/2014","10:16:42",9.3832,122.0604,"Earthquake",15.46,2.9,NA,6.3,"MWW",NA,NA,15,4.172,NA,0.97,"USB000QNIY","US","US","US","Reviewed","2014"
"22215","05/16/2014","00:40:16",-22.5327,172.9979,"Earthquake",9,1.7,NA,5.5,"MWW",NA,NA,37,6.086,NA,0.91,"USB000QQBK","US","US","US","Reviewed","2014"
"22216","05/16/2014","11:01:40",17.0863,-60.3648,"Earthquake",5.34,2.4,NA,5.9,"MWW",NA,NA,27,1.012,NA,0.67,"USB000QQLQ","US","US","US","Reviewed","2014"
"22217","05/16/2014","17:08:32",-23.4456,-68.5388,"Earthquake",104.95,3.3,NA,5.5,"MWW",NA,NA,24,0.888,NA,0.84,"USB000QRC9","US","US","US","Reviewed","2014"
"22218","05/17/2014","09:11:05",-19.9874,-70.8968,"Earthquake",5.62,2.7,NA,5.6,"MWW",NA,NA,51,0.825,NA,1.04,"USB000QSBY","US","US","US","Reviewed","2014"
"22219","05/17/2014","12:13:28",-54.2473,-146.6847,"Earthquake",5,1.7,NA,5.7,"MWW",NA,NA,17,28.123,NA,0.66,"USB000QSFC","US","US","US","Reviewed","2014"
"22220","05/17/2014","21:28:17",-56.2451,-27.534,"Earthquake",90,1.8,NA,5.5,"MWB",0.069,20,21,5.484,NA,0.68,"USB000QSZ7","US","US","US","Reviewed","2014"
"22221","05/18/2014","00:58:28",-14.6681,-175.53,"Earthquake",10,1.5,NA,5.7,"MWC",NA,NA,44,3.715,NA,1.34,"USB000QT4I","US","US","GCMT","Reviewed","2014"
"22222","05/18/2014","01:02:33",4.2485,92.7574,"Earthquake",35,1.6,NA,6,"MWW",NA,NA,19,4.287,NA,0.71,"USB000QT4L","US","US","US","Reviewed","2014"
"22223","05/18/2014","04:19:18",-21.3041,169.8451,"Earthquake",62.04,4.4,NA,5.6,"MWB",0.068,21,24,3.254,NA,0.86,"USB000QT7U","US","US","US","Reviewed","2014"
"22224","05/18/2014","06:38:40",-14.8047,-175.9032,"Earthquake",10,1.8,NA,5.6,"MWC",NA,NA,50,6.498,NA,0.86,"USB000QT9Y","US","US","GCMT","Reviewed","2014"
"22225","05/18/2014","10:59:21",3.1506,93.8608,"Earthquake",4.78,3.4,NA,5.5,"MWB",0.044,50,30,3.706,NA,1.3,"USB000QTEU","US","US","US","Reviewed","2014"
"22226","05/18/2014","23:47:04",-4.4173,-105.9421,"Earthquake",10,1.6,NA,5.8,"MWW",NA,NA,73,16.074,NA,0.92,"USB000QU45","US","US","US","Reviewed","2014"
"22227","05/19/2014","01:53:54",-4.7721,-105.5478,"Earthquake",10,1.8,NA,5.5,"MWB",0.066,22,122,23.238,NA,0.98,"USB000QU81","US","US","US","Reviewed","2014"
"22228","05/19/2014","22:47:13",-57.0334,-25.1486,"Earthquake",10,1.7,NA,5.7,"MWW",NA,NA,49,6.981,NA,0.9,"USB000QVT4","US","US","US","Reviewed","2014"
"22229","05/21/2014","00:21:13",23.7553,121.5005,"Earthquake",13,1.7,NA,5.6,"MWW",NA,NA,19,0.406,NA,0.84,"USB000QXND","US","US","US","Reviewed","2014"
"22231","05/21/2014","16:21:54",18.2012,88.0376,"Earthquake",47.23,3.7,NA,6,"MWW",NA,NA,38,5.59,NA,0.63,"USB000QY82","US","US","US","Reviewed","2014"
"22232","05/22/2014","08:37:57",-55.3968,-28.2771,"Earthquake",7,1.7,NA,5.5,"MWB",0.083,14,39,4.875,NA,0.74,"USB000QZB9","US","US","US","Reviewed","2014"
"22233","05/23/2014","20:49:22",24.9737,97.8437,"Earthquake",8,1.7,NA,5.8,"MWW",NA,NA,24,4.443,NA,0.98,"USB000R1Y6","US","US","US","Reviewed","2014"
"22234","05/23/2014","21:20:07",18.9494,145.0446,"Earthquake",558.07,5.5,NA,5.7,"MWW",NA,NA,15,5.332,NA,0.78,"USB000R209","US","US","US","Reviewed","2014"
"22235","05/23/2014","23:41:49",45.0099,-27.8369,"Earthquake",10,1.7,NA,5.5,"MWC",NA,NA,14,6.291,NA,0.67,"USB000R26G","US","US","GCMT","Reviewed","2014"
"22236","05/24/2014","08:24:48",16.526,-98.141,"Earthquake",17,1.8,NA,5.7,"MWW",NA,NA,79,0.133,NA,1.11,"USB000R2GJ","US","US","US","Reviewed","2014"
"22237","05/24/2014","09:25:02",40.2893,25.3889,"Earthquake",6.43,3.2,NA,6.9,"MWW",NA,NA,25,0.402,NA,0.67,"USB000R2HC","US","US","US","Reviewed","2014"
"22238","05/24/2014","11:49:26",0.6863,-26.3229,"Earthquake",10,1.8,NA,5.9,"MWC",NA,NA,38,11.547,NA,0.56,"USB000R2J9","US","US","GCMT","Reviewed","2014"
"22239","05/28/2014","21:15:07",18.045,-68.3509,"Earthquake",90,2,31,5.8,"ML",0,12,262.8,0.46712395,2.9,0.41,"PR14148004","PR","PR","PR","Reviewed","2014"
"22240","05/30/2014","01:20:15",24.9997,97.845,"Earthquake",10,1.7,NA,5.9,"MWW",NA,NA,18,4.441,NA,0.86,"USC000R8XG","US","US","US","Reviewed","2014"
"22241","05/30/2014","11:33:10",-55.3059,-128.5812,"Earthquake",11.29,3.3,NA,5.5,"MWC",NA,NA,33,32.416,NA,0.84,"USC000R91R","US","US","GCMT","Reviewed","2014"
"22242","05/30/2014","15:26:14",9.3864,126.4726,"Earthquake",14.53,3,NA,5.7,"MWW",NA,NA,82,2.465,NA,1.13,"USC000R948","US","US","US","Reviewed","2014"
"22244","05/31/2014","11:53:46",18.7876,-107.469,"Earthquake",5,1.5,NA,6.2,"MWW",NA,NA,69,3.574,NA,0.64,"USC000R9G2","US","US","US","Reviewed","2014"
"22245","06/01/2014","10:07:13",2.017,89.7759,"Earthquake",20,1.7,NA,5.7,"MWW",NA,NA,14,7.828,NA,0.95,"USC000R9T0","US","US","US","Reviewed","2014"
"22246","06/03/2014","04:39:58",-54.966,-129.6226,"Earthquake",13.14,4.5,NA,5.6,"MWC",NA,NA,78,29.863,NA,0.79,"USC000RABR","US","US","GCMT","Reviewed","2014"
"22247","06/04/2014","11:58:59",59.0268,-136.7479,"Earthquake",12,1.7,NA,5.7,"MWW",NA,NA,22,0.472,NA,0.75,"USC000RAUC","US","US","US","Reviewed","2014"
"22248","06/05/2014","17:22:05",-29.1504,-112.4834,"Earthquake",10,1.7,NA,5.9,"MWW",NA,NA,41,3.434,NA,1.02,"USC000RBE3","US","US","US","Reviewed","2014"
"22249","06/06/2014","23:06:52",-14.8641,-175.0007,"Earthquake",15.33,3.3,NA,5.5,"MWC",NA,NA,36,3.264,NA,0.86,"USC000RCCX","US","US","GCMT","Reviewed","2014"
"22251","06/07/2014","06:05:30",40.3731,51.5739,"Earthquake",30.51,3.3,NA,5.5,"MWC",NA,NA,37,5.64,NA,0.74,"USC000RCF1","US","US","GCMT","Reviewed","2014"
"22252","06/07/2014","13:11:36",50.6829,157.0663,"Earthquake",41.06,4.5,NA,5.5,"MWW",NA,NA,95,2.459,NA,0.78,"USC000RCHE","US","US","US","Reviewed","2014"
"22253","06/13/2014","19:30:30",-46.0293,-13.8844,"Earthquake",6.42,2.6,NA,5.8,"MWW",NA,NA,33,9.03,NA,1.08,"USC000RF9I","US","US","US","Reviewed","2014"
"22254","06/14/2014","03:58:42",36.4544,70.7174,"Earthquake",200,1.8,NA,5.6,"MWW",NA,NA,22,0.679,NA,0.83,"USC000RFF2","US","US","US","Reviewed","2014"
"22255","06/14/2014","11:11:00",-10.1229,91.0921,"Earthquake",4,1.6,NA,6.5,"MWW",NA,NA,23,5.998,NA,0.85,"USC000RFH2","US","US","US","Reviewed","2014"
"22256","06/14/2014","17:31:42",39.4384,140.9876,"Earthquake",92,1.8,NA,5.5,"MWW",NA,NA,15,3.056,NA,0.67,"USC000RFJ5","US","US","US","Reviewed","2014"
"22257","06/15/2014","18:19:15",36.6041,141.7237,"Earthquake",15.87,2.6,NA,5.5,"MWW",NA,NA,48,2.829,NA,0.78,"USC000RFU7","US","US","US","Reviewed","2014"
"22258","06/15/2014","20:14:51",37.0961,141.1141,"Earthquake",45,1.9,NA,5.6,"MWW",NA,NA,58,2.395,NA,0.83,"USC000RFV0","US","US","US","Reviewed","2014"
"22259","06/16/2014","06:39:32",1.6444,-79.2557,"Earthquake",14.97,2.9,NA,5.7,"MWW",NA,NA,51,4.802,NA,0.98,"USC000RFYE","US","US","US","Reviewed","2014"
"22261","06/19/2014","09:38:36",-19.9749,-70.9451,"Earthquake",11.3,2.8,NA,5.7,"MWW",NA,NA,82,0.86,NA,1.17,"USB000RGRW","US","US","US","Reviewed","2014"
"22262","06/19/2014","10:17:56",-13.5585,166.8278,"Earthquake",36,1.8,NA,6.2,"MWW",NA,NA,19,1.912,NA,1.12,"USB000RGSN","US","US","US","Reviewed","2014"
"22263","06/19/2014","19:54:05",-19.841,-70.8701,"Earthquake",10.6,2.4,NA,5.8,"MWW",NA,NA,43,0.744,NA,0.88,"USB000RH54","US","US","US","Reviewed","2014"
"22264","06/20/2014","19:53:32",-19.8027,-70.9223,"Earthquake",12.75,2.6,NA,5.6,"MWW",NA,NA,80,0.78,NA,0.99,"USC000RJ14","US","US","US","Reviewed","2014"
"22265","06/20/2014","20:22:27",-19.8101,-71.0037,"Earthquake",12.25,2.5,NA,5.8,"MWW",NA,NA,44,0.856,NA,0.79,"USC000RJ2S","US","US","US","Reviewed","2014"
"22266","06/23/2014","19:19:16",-29.9772,-177.7247,"Earthquake",20,1.8,NA,6.9,"MWW",NA,NA,35,0.751,NA,0.99,"USC000RKG5","US","US","US","Reviewed","2014"
"22267","06/23/2014","19:21:46",-29.9379,-177.5159,"Earthquake",10,1.7,NA,6.5,"MWC",NA,NA,30,0.778,NA,0.97,"USC000RKGA","US","US","GCMT","Reviewed","2014"
"22268","06/23/2014","20:06:21",-29.9414,-177.6073,"Earthquake",26.59,3.3,NA,6.7,"MWC",NA,NA,43,0.748,NA,0.76,"USC000RKHJ","US","US","GCMT","Reviewed","2014"
"22269","06/23/2014","20:53:10",51.8486,178.7352,"Earthquake",109,1.8,NA,7.9,"MWW",NA,NA,22,0.133,NA,0.71,"USC000RKI5","US","US","US","Reviewed","2014"
"22270","06/23/2014","21:00:01",51.8246,178.4767,"Earthquake",105.92,5.9,NA,5.7,"MB",0.07,75,53,0.143,NA,0.53,"USC000RM6K","US","US","US","Reviewed","2014"
"22271","06/23/2014","21:08:54",-30.1701,-177.1876,"Earthquake",10,1.8,NA,5.6,"MB",0.083,51,141,1.125,NA,1.43,"USC000RKIJ","US","US","US","Reviewed","2014"
"22272","06/23/2014","21:11:41",51.9558,178.4563,"Earthquake",102.85,3.7,NA,6,"MB",0.031,417,24,0.034,NA,0.65,"USC000RKII","US","US","US","Reviewed","2014"
"22273","06/23/2014","21:30:46",51.9357,178.4288,"Earthquake",101.88,3.6,NA,6,"MB",0.025,621,23,0.052,NA,0.75,"USC000RKJV","US","US","US","Reviewed","2014"
"22274","06/23/2014","22:15:49",-30.1522,-177.5733,"Earthquake",10,1.7,NA,5.6,"MB",0.057,116,48,0.955,NA,0.9,"USC000RKMT","US","US","US","Reviewed","2014"
"22275","06/23/2014","22:20:04",-29.9669,-177.2485,"Earthquake",10.66,3.2,NA,5.9,"MB",0.041,229,44,0.932,NA,0.56,"USC000RKN2","US","US","US","Reviewed","2014"
"22276","06/23/2014","22:29:52",51.9593,178.5844,"Earthquake",106.6,3.5,NA,6,"MB",0.028,484,24,0.008,NA,0.72,"USC000RKNC","US","US","US","Reviewed","2014"
"22277","06/24/2014","00:52:28",51.9091,178.4438,"Earthquake",100.3,3.7,NA,5.8,"MB",0.027,526,22,0.057,NA,0.71,"USC000RKSK","US","US","US","Reviewed","2014"
"22278","06/24/2014","03:15:35",52.2045,176.6981,"Earthquake",4,1.7,NA,6.3,"MWB",0.04,61,21,1.145,NA,0.69,"USC000RKVN","US","US","US","Reviewed","2014"
"22279","06/24/2014","08:12:31",52.2488,176.4606,"Earthquake",11,1.7,NA,5.7,"MWB",0.066,22,42,1.297,NA,0.85,"USC000RKZN","US","US","US","Reviewed","2014"
"22280","06/29/2014","05:56:32",24.3877,142.6278,"Earthquake",48,1.8,NA,6.2,"MWW",NA,NA,11,2.726,NA,0.66,"USC000RNFX","US","US","US","Reviewed","2014"
"22281","06/29/2014","07:52:55",-55.4703,-28.3669,"Earthquake",8,1.6,NA,6.9,"MWW",NA,NA,25,4.838,NA,0.76,"USC000RNGJ","US","US","US","Reviewed","2014"
"22282","06/29/2014","14:20:37",-55.4067,-28.106,"Earthquake",10,1.6,NA,5.8,"MWB",0.052,35,32,4.973,NA,0.78,"USC000RNJU","US","US","US","Reviewed","2014"
"22283","06/29/2014","14:32:49",-55.3584,-28.1075,"Earthquake",10,1.6,NA,6,"MWB",0.068,21,28,4.964,NA,0.64,"USC000RNJW","US","US","US","Reviewed","2014"
"22284","06/29/2014","15:52:23",-14.7798,-175.2589,"Earthquake",9,1.7,NA,6.4,"MWW",NA,NA,47,3.483,NA,1.43,"USC000RNK7","US","US","US","Reviewed","2014"
"22285","06/29/2014","17:15:09",-14.9831,-175.5096,"Earthquake",18,1.8,NA,6.7,"MWW",NA,NA,45,6.713,NA,1.39,"USC000RNKU","US","US","US","Reviewed","2014"
"22286","06/29/2014","18:24:32",-15.3533,-175.6595,"Earthquake",10,1.8,NA,5.9,"MWW",NA,NA,47,6.481,NA,1.11,"USC000RNLC","US","US","US","Reviewed","2014"
"22287","06/30/2014","01:46:23",0.0541,-17.3427,"Earthquake",10,1.8,NA,5.6,"MWW",NA,NA,42,8.472,NA,0.55,"USB000RZ1N","US","US","US","Reviewed","2014"
"22288","06/30/2014","19:55:32",28.3404,138.8441,"Earthquake",511,1.9,NA,6.2,"MWW",NA,NA,13,3.21,NA,0.64,"USC000RNX0","US","US","US","Reviewed","2014"
"22289","07/01/2014","05:42:34",-56.62,-141.7836,"Earthquake",10,1.8,NA,5.6,"MWC",NA,9,70,31.96,NA,0.71,"USB000RVUM","US","US","GCMT","Reviewed","2014"
"22290","07/02/2014","05:53:29",-62.3014,155.1868,"Earthquake",10,1.7,NA,6,"MWW",NA,NA,36,8.07,NA,1.29,"USC000RPFU","US","US","US","Reviewed","2014"
"22291","07/03/2014","02:56:38",55.2568,166.9008,"Earthquake",7.61,1.8,NA,5.7,"MWW",NA,NA,42,4.945,NA,0.71,"USC000RPU4","US","US","US","Reviewed","2014"
"22292","07/03/2014","12:05:22",55.2557,166.8841,"Earthquake",6,1.7,NA,5.8,"MWW",NA,NA,31,4.953,NA,0.92,"USC000RPW8","US","US","US","Reviewed","2014"
"22293","07/03/2014","19:06:49",52.1253,178.4648,"Earthquake",116.13,3.5,NA,5.7,"MWW",NA,NA,17,0.159,NA,0.81,"USC000RQAE","US","US","US","Reviewed","2014"
"22294","07/03/2014","19:50:07",-30.4601,-176.4451,"Earthquake",35,1.8,NA,6.3,"MWW",NA,NA,13,1.768,NA,0.68,"USC000RQBG","US","US","US","Reviewed","2014"
"22295","07/04/2014","13:12:18",-7.0168,155.9036,"Earthquake",38.82,4.1,NA,5.5,"MWW",NA,NA,41,4.661,NA,1.02,"USC000RQGL","US","US","US","Reviewed","2014"
"22296","07/04/2014","15:00:28",-6.2304,152.8075,"Earthquake",20,1.8,NA,6.5,"MWW",NA,NA,15,2.124,NA,1.06,"USC000RQGZ","US","US","US","Reviewed","2014"
"22297","07/04/2014","22:42:05",39.648,142.0802,"Earthquake",50.31,3.5,NA,5.7,"MWW",NA,NA,17,2.501,NA,0.72,"USC000RQIX","US","US","US","Reviewed","2014"
"22298","07/05/2014","09:39:28",1.9335,96.9388,"Earthquake",20,1.7,NA,6,"MWW",NA,NA,16,0.892,NA,0.73,"USC000RQS7","US","US","US","Reviewed","2014"
"22299","07/06/2014","22:11:30",-21.1445,173.9522,"Earthquake",8,1.8,NA,5.8,"MWW",NA,NA,83,5.138,NA,0.94,"USC000RR1Y","US","US","US","Reviewed","2014"
"22300","07/07/2014","11:23:55",14.724,-92.4614,"Earthquake",53,1.8,NA,6.9,"MWW",NA,NA,51,0.263,NA,1.38,"USC000RR6A","US","US","US","Reviewed","2014"
"22301","07/08/2014","09:05:23",42.6676,141.3472,"Earthquake",10,1.7,NA,5.5,"MWB",0.073,18,36,1.492,NA,1.05,"USC000RRL0","US","US","US","Reviewed","2014"
"22302","07/08/2014","12:56:26",-17.6864,168.3982,"Earthquake",110.24,3.6,NA,6.2,"MWW",NA,NA,23,2.504,NA,0.94,"USC000RRMG","US","US","US","Reviewed","2014"
"22303","07/09/2014","17:58:12",-62.1149,164.919,"Earthquake",10,1.7,NA,5.8,"MWW",NA,NA,36,15.512,NA,0.76,"USB000RRB8","US","US","US","Reviewed","2014"
"22304","07/11/2014","19:22:01",37.0052,142.4525,"Earthquake",20,1.7,NA,6.5,"MWW",NA,NA,9,2.421,NA,0.75,"USB000RS50","US","US","US","Reviewed","2014"
"22305","07/12/2014","17:49:17",-55.4163,-27.9709,"Earthquake",6,1.7,NA,5.6,"MWW",NA,NA,32,5.051,NA,0.82,"USB000RSEJ","US","US","US","Reviewed","2014"
"22306","07/12/2014","18:20:38",-55.3411,-27.9186,"Earthquake",10,1.7,NA,5.6,"MWW",NA,NA,44,5.068,NA,0.76,"USB000RSF0","US","US","US","Reviewed","2014"
"22307","07/13/2014","20:00:37",-4.0484,151.2699,"Earthquake",10,1.7,NA,5.8,"MWW",NA,NA,37,6.705,NA,1.12,"USB000RSNS","US","US","US","Reviewed","2014"
"22308","07/13/2014","20:54:15",-20.2585,-70.3475,"Earthquake",33.12,3.3,NA,5.5,"MWW",NA,NA,83,0.343,NA,1.14,"USB000RSNZ","US","US","US","Reviewed","2014"
"22309","07/14/2014","05:05:03",-8.8188,111.2529,"Earthquake",52.51,3.1,NA,5.5,"MWW",NA,NA,44,1.154,NA,1.23,"USB000RSQI","US","US","US","Reviewed","2014"
"22310","07/14/2014","07:59:57",5.7144,126.4776,"Earthquake",20,1.7,NA,6.3,"MWW",NA,NA,44,1.615,NA,1.07,"USB000RSR5","US","US","US","Reviewed","2014"
"22311","07/15/2014","09:44:59",-4.1115,151.3872,"Earthquake",10,1.7,NA,5.8,"MWW",NA,NA,15,0.778,NA,1.32,"USB000RT2U","US","US","US","Reviewed","2014"
"22312","07/15/2014","10:30:30",-4.1972,151.3845,"Earthquake",10,1.1,NA,5.7,"MWW",NA,NA,12,0.777,NA,1.24,"USB000RT3B","US","US","US","Reviewed","2014"
"22313","07/15/2014","16:39:02",-4.1785,151.3765,"Earthquake",10,1.8,NA,5.6,"MWW",NA,NA,25,0.785,NA,0.84,"USB000RT5G","US","US","US","Reviewed","2014"
"22315","07/19/2014","12:27:10",-15.8239,-174.4517,"Earthquake",227.27,3.5,NA,6.2,"MWW",NA,NA,23,3.21,NA,0.65,"USB000RUJQ","US","US","US","Reviewed","2014"
"22316","07/19/2014","14:14:02",11.7448,57.6382,"Earthquake",10,1.8,NA,6,"MWW",NA,NA,51,3.652,NA,1.21,"USB000RUKS","US","US","US","Reviewed","2014"
"22317","07/20/2014","18:32:48",44.6419,148.7838,"Earthquake",61,1.8,NA,6.2,"MWW",NA,NA,16,4.468,NA,1.07,"USB000RUU6","US","US","US","Reviewed","2014"
"22318","07/21/2014","14:54:41",-19.8015,-178.4001,"Earthquake",615.42,2.9,NA,6.9,"MWW",NA,NA,15,3.934,NA,0.96,"USB000RUZK","US","US","US","Reviewed","2014"
"22319","07/23/2014","21:39:08",-20.2267,-68.6776,"Earthquake",118.73,3,NA,5.6,"MWW",NA,NA,32,0.455,NA,0.75,"USB000RWQE","US","US","US","Reviewed","2014"
"22320","07/25/2014","10:54:50",58.3062,-136.9601,"Earthquake",10,1.7,NA,6.1,"MWW",NA,NA,28,1.14,NA,1.36,"USB000RX5I","US","US","US","Reviewed","2014"
"22321","07/26/2014","11:13:48",-60.0379,-18.6749,"Earthquake",10,0.9,NA,5.8,"MWC",NA,NA,45,11.239,NA,0.69,"USB000RXJY","US","US","GCMT","Reviewed","2014"
"22322","07/27/2014","01:28:37",23.724,-45.5809,"Earthquake",10,1.6,NA,6,"MWW",NA,NA,43,16.915,NA,0.71,"USB000RXNI","US","US","US","Reviewed","2014"
"22323","07/28/2014","03:36:46",7.5014,136.769,"Earthquake",5,1.7,NA,5.6,"MWW",NA,NA,22,9.963,NA,0.59,"USB000RXUC","US","US","US","Reviewed","2014"
"22324","07/28/2014","23:00:48",-6.9216,143.873,"Earthquake",10,1.6,NA,5.6,"MWW",NA,NA,11,4.083,NA,0.82,"USB000RY5U","US","US","US","Reviewed","2014"
"22325","07/29/2014","10:46:15",17.6818,-95.6533,"Earthquake",107,1.7,NA,6.3,"MWW",NA,NA,43,0.94,NA,1.54,"USB000RY8M","US","US","US","Reviewed","2014"
"22326","07/29/2014","13:27:40",-3.422,146.769,"Earthquake",9.77,2.9,NA,6,"MWW",NA,NA,14,5.436,NA,0.86,"USB000RY9U","US","US","US","Reviewed","2014"
"22327","07/29/2014","22:04:44",35.3766,-36.2607,"Earthquake",10,1.8,NA,5.5,"MWB",0.048,42,65,5.67,NA,0.77,"USB000RYG1","US","US","US","Reviewed","2014"
"22328","07/30/2014","16:00:58",-7.1633,154.8448,"Earthquake",10,1.7,NA,5.9,"MWW",NA,NA,28,3.979,NA,0.7,"USB000RYKV","US","US","US","Reviewed","2014"
"22329","07/31/2014","13:41:01",12.4337,95.2033,"Earthquake",10,1.8,NA,5.8,"MWW",NA,NA,61,2.527,NA,0.98,"USB000RYUH","US","US","US","Reviewed","2014"
"22330","08/01/2014","04:11:17",36.8561,3.181,"Earthquake",10,1.7,NA,5.5,"MWW",NA,NA,36,2.608,NA,0.9,"USB000RZ1P","US","US","US","Reviewed","2014"
"22331","08/02/2014","10:33:26",-9.1421,67.337,"Earthquake",10,1.7,NA,5.5,"MWB",0.05,38,55,5.296,NA,0.87,"USB000RZG0","US","US","US","Reviewed","2014"
"22332","08/02/2014","14:02:19",-55.4278,-28.3088,"Earthquake",7.24,3.1,NA,5.6,"MWB",0.069,20,46,4.863,NA,0.93,"USB000RZGN","US","US","US","Reviewed","2014"
"22333","08/03/2014","00:22:04",0.8295,146.1688,"Earthquake",13,1.6,NA,6.9,"MWW",NA,NA,12,6.393,NA,0.93,"USB000RZKI","US","US","US","Reviewed","2014"
"22334","08/03/2014","00:26:42",0.9871,146.2597,"Earthquake",14.87,3.3,NA,5.7,"MB",0.04,226,22,6.553,NA,0.76,"USB000RZKL","US","US","US","Reviewed","2014"
"22335","08/03/2014","04:06:04",28.0487,128.0642,"Earthquake",10,1.7,NA,5.7,"MWW",NA,NA,23,1.222,NA,0.89,"USB000RZLC","US","US","US","Reviewed","2014"
"22336","08/03/2014","08:30:14",27.1891,103.4086,"Earthquake",12,1.7,NA,6.2,"MWW",NA,NA,13,2.143,NA,1,"USB000RZMG","US","US","US","Reviewed","2014"
"22337","08/06/2014","11:45:23",-7.2741,128.0364,"Earthquake",10,1.6,NA,6.2,"MWW",NA,NA,16,3.309,NA,0.89,"USB000S0R6","US","US","US","Reviewed","2014"
"22338","08/10/2014","03:43:17",41.1585,142.1309,"Earthquake",41,1.8,NA,6.1,"MWW",NA,NA,24,2.978,NA,0.7,"USB000S1NC","US","US","US","Reviewed","2014"
"22339","08/10/2014","13:33:21",5.8688,127.1348,"Earthquake",78,1.7,NA,5.6,"MWB",0.052,36,27,1.952,NA,0.75,"USB000S1PI","US","US","US","Reviewed","2014"
"22340","08/10/2014","18:46:18",27.6814,-111.6319,"Earthquake",10,1.8,NA,5.5,"MWW",NA,NA,78,0.65,NA,1.29,"USB000S1QS","US","US","US","Reviewed","2014"
"22341","08/11/2014","10:07:33",-29.9735,-176.0965,"Earthquake",10,1.8,NA,5.5,"MWC",NA,NA,63,1.753,NA,1,"USB000S1TP","US","US","GCMT","Reviewed","2014"
"22342","08/11/2014","13:32:20",-41.3326,-84.9562,"Earthquake",10,1.9,NA,5.5,"MWW",NA,NA,138,10.297,NA,0.78,"USB000S1VQ","US","US","US","Reviewed","2014"
"22343","08/13/2014","00:30:47",13.9091,144.9757,"Earthquake",98,1.8,NA,5.6,"MWW",NA,NA,19,0.334,NA,0.82,"USB000S29M","US","US","US","Reviewed","2014"
"22344","08/13/2014","05:54:38",-3.4459,145.4342,"Earthquake",30.29,4,NA,5.6,"MWW",NA,NA,33,4.813,NA,0.64,"USB000S2B1","US","US","US","Reviewed","2014"
"22347","08/18/2014","18:08:23",32.5827,47.7037,"Earthquake",5,1.7,NA,6,"MWW",NA,NA,29,6.858,NA,0.63,"USB000S3T7","US","US","US","Reviewed","2014"
